Accuracy,MAE,MSE,Runtime,generacion,learning_rate,loss,n_estimators,stdApproach,stdMAE,stdMSE,stdRuntime
0.9986362598909141,1.7652194133396804,53.46406723660251,111.78470041751862,0,0.01,exponential,50.0,0.0007429975215654627,0.2618271837419549,29.128474835451964,1.4223177275046448
0.9986252638845151,1.6789802819568755,53.89515467147,1111.363226866722,0,0.01,exponential,500.0,0.0007943642950991147,0.26302313574469416,31.14225782506701,87.1373612049188
0.9986039339253292,1.7266102500216334,54.73137439139301,219.02141439914703,0,0.01,linear,100.0,0.0007441705306672731,0.26960769897725195,29.174461484279487,6.135912590241719
0.9985942574521547,1.7584142653344308,55.11073084573191,90.26688327789307,1,0.01,linear,50.0,0.0006921321757733646,0.26037995607432535,27.134349819018013,4.97164195260529
0.9985870255182269,1.751439344473861,55.39425158343418,215.3329120874405,0,0.01,square,100.0,0.000798176235566783,0.2841280319999754,31.29170113916112,8.748036846325071
0.9985825698530041,1.6943307624113397,55.568931482832646,1144.8350878953934,0,0.01,linear,500.0,0.0007893047833905723,0.28060905215074244,30.943904728044796,82.45981735114498
0.9984312609676337,2.1331908810978217,61.50084502488058,292.3740069627762,0,0.1,square,500.0,0.0007300591619838694,0.6322603511174328,28.621239386414786,271.1636219043178
0.9981149645600951,2.5203951774777993,73.90092938603023,36.70518229007721,2,,,,0.0008554540775828943,0.29376039163698625,33.537221657560266,12.606167279586968
0.9972662532314134,3.766253467729782,107.17380831566729,18.33985345363617,1,2.0,linear,50.0,0.0007894869059868275,0.3707941363393645,30.951044662308508,10.550695952241533
0.9972662532314134,3.766253467729782,107.17380831566729,20.379028940200804,1,2.0,linear,500.0,0.0007894869059868275,0.3707941363393645,30.951044662308508,11.880867257080515
0.9960520656961519,5.622107900673458,154.774816448063,115.53230257034302,0,1.0,exponential,100.0,0.0011956753556090815,0.6662984363081405,46.87525664129937,3.970759047118504
0.9958706001540684,5.768032941055852,161.88899155991095,57.051758360862735,0,2.0,exponential,50.0,0.0009604443714413785,0.5779553472318352,37.653261137987066,2.0489376960723824
0.9796161882980761,16.695199266568714,799.126953962225,77.26444909572601,0,2.0,exponential,100.0,0.0024609879346349063,1.2615200580524928,96.48057098942837,2.231737720849951
