LATITUDE,fit_time,score_time,test_mae,test_mse,test_distance,test_r2
AdaBoostRegressor,75.9821522474289,0.453641557693481,1.91282607093231,18.376431149877,1.54820235306291,0.996024667639553
BaggingRegressor,9.69240760803223,0.358646845817566,2.34846750823941,20.7784935069403,1.9008001564217,0.995507536686076
DecisionTreeRegressor,1.4815708398819,0.091149282455444,2.4694362934572,39.5596634153968,1.99871564385186,0.991445011670097
ElasticNet,0.789300298690796,0.094859886169434,21.8756855902737,780.048231410568,17.7058425880827,0.831673592637557
ExtraTreesRegressor,10.0465887308121,0.14010181427002,2.11775334417388,19.934904507234,1.71406499532374,0.995687706565413
GaussianProcessRegressor,307.68470211029,96.1326526165009,2482152.35360771,9545164756816.33,2009016.62795526,-2061368994.90274
GradientBoostingRegressor,39.0860291481018,0.176184129714966,7.15119222750142,89.9996562366404,5.78804970443857,0.980555773569324
KNeighborsRegressor,1.98027858734131,31.7841645002365,3.16910819063515,33.5723305302307,2.56501322744016,0.992748472241796
Lasso,1.05269560813904,0.095988607406616,15.8270020910999,417.290075265046,12.8101265426709,0.909913839959999
LinearRegression,2.58382518291473,0.104013109207153,7.02480108343416,89.3373742090172,5.68575012993987,0.980692433049146
PassiveAggressiveRegressor,0.782188034057617,0.106225776672363,54796.0318674997,5297504406.28238,44351.081294479,-1145953.10184206
RandomForestRegressor,8.55991134643555,0.135099124908447,2.34679111470937,20.5838461179272,1.89944334851676,0.995550319646099
Ridge,0.842962145805359,0.091384220123291,7.02625468762077,87.1150666798169,5.68692655827397,0.981175038540076
SVR,347.231800055504,153.993724989891,28.1113714854793,1413.6759941742,22.7529122163159,0.695058173895077
