Accuracy,MAE,MSE,Runtime,bootstrap,bootstrap_features,generacion,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime
0.9984719718598194,3.032433611830995,59.90481520763552,83.90817515850067,True,True,0,84.0,False,0.0006620166219980577,0.2333872281246625,25.9536996488114,6.281452407366187
0.9984719718598194,3.032433611830995,59.90481520763552,96.49365372657776,True,True,0,84.0,True,0.0006620166219980577,0.2333872281246625,25.9536996488114,8.606702453313206
0.9984701888319785,3.0493425721680953,59.97471703111499,67.78935220241547,True,True,0,56.0,True,0.0006631836990149021,0.24002089106717248,25.999453736180147,2.9795201688873694
0.998469530307793,3.0673448266979717,60.00053381329085,54.2139050245285,True,True,0,44.0,True,0.0006519207615777568,0.23795891403647598,25.557901536894434,2.236259698139673
0.9984282978657459,3.1522260489807405,61.61701047129626,26.37111918926239,True,True,0,24.0,False,0.0006488788121414694,0.2521696695096083,25.43864495119279,0.5337794736695088
0.9983786340155543,3.0795541343870525,63.564032054203594,94.29044122695923,True,False,0,96.0,False,0.000690147929542492,0.22632993565564524,27.056559429784677,7.836590776429103
0.9983776163507269,3.2356384092463912,63.60392858610563,17.746877193450928,True,True,0,16.0,False,0.0006510885982272753,0.26148992031143853,25.525277404901395,0.29233638918369864
0.9983731712882072,3.093362968230786,63.77819281713106,80.30264859199524,True,False,0,80.0,False,0.0006912895869911989,0.22827497741141664,27.101316968402866,5.483607640445213
0.9983699021463822,3.1643049136280683,63.906356253236126,29.783961796760558,True,False,0,24.0,True,0.0006542178002405961,0.21766152739826514,25.647954640631458,0.44337641028875013
0.9983698134702989,3.148379347268329,63.90983271040584,34.2641606092453,True,False,0,28.0,True,0.0006622573130527686,0.22882265361699006,25.963135700920034,0.6226580676541104
0.9983645788568725,3.1391013422810574,64.11505049517265,38.649624538421634,True,False,0,36.0,False,0.0006686014528787699,0.21998571590928903,26.211851358658777,1.3242476663646416
0.9982153039754115,3.335740429592179,69.96722294797533,8.558864045143128,,,2,,,0.0006868636515981046,0.21861162196603967,26.927802597250793,0.15803084656446456
0.9981583529229097,3.3838507548181447,72.19993201024691,9.022086477279663,True,False,0,8.0,False,0.0007316213559938973,0.23395038317090655,28.68248364038521,0.07507238647571843
0.9980546797271312,3.5961130989995866,76.26433597754232,5.159973573684693,True,True,1,5.0,True,0.000579544827478683,0.19534054729002812,22.720475416474724,0.1378728542944269
