Approach,MAE,MSE,Runtime,generacion,learning_rate,loss,n_estimators,stdApproach,stdMAE,stdMSE,stdRuntime
0,100,100,0,0,0.01,linear,100,0,100,100,0
0,100,100,0,0,2.0,linear,100,0,100,100,0
0,100,100,0,2,0.01,exponential,100,0,100,100,0
0,100,100,0,2,0.1,linear,100,0,100,100,0
0,100,100,0,2,0.1,linear,50,0,100,100,0
0,100,100,0,2,0.01,linear,50,0,100,100,0
0,100,100,0,1,2.0,exponential,50,0,100,100,0
0,100,100,0,1,0.01,exponential,500,0,100,100,0
0,100,100,0,1,2.0,linear,500,0,100,100,0
0,100,100,0,1,2.0,linear,50,0,100,100,0
0,100,100,0,1,0.01,linear,500,0,100,100,0
0,100,100,0,0,2.0,exponential,100,0,100,100,0
0,100,100,0,0,1.0,exponential,500,0,100,100,0
0,100,100,0,0,1.0,exponential,50,0,100,100,0
0,100,100,0,0,0.01,exponential,50,0,100,100,0
0,100,100,0,0,2.0,square,100,0,100,100,0
0,100,100,0,0,1.0,square,50,0,100,100,0
0,100,100,0,2,2.0,exponential,500,0,100,100,0
